times collected,species
3,Vinealobryum insulanum (De Not.) R.H. Zander
4,Brachythecium asperrimum (Mitt. ex Müll. Hal.) Sull.
4,Cinclidium stygium Sw.
4,Cirriphyllum piliferum (Hedw.) Grout
4,Codriophorus acicularis (Hedw.) P. Beauv.
4,Dendroalsia abietina (Hook.) E. Britton
4,Drepanium fastigiatum (Brid.) Lange & C.E.O. Jensen
4,Drepanocladus angustifolius (Hedenäs) Hedenäs & Rosborg
4,Fissidens crispus Mont.
4,Fissidens pusillus (Wilson) Milde
4,Homalothecium lutescens (Hedw.) H. Rob.
4,Lescuraea radicosa var. Compacta (Best) E. Lawton
4,Niphotrichum ericoides (Brid.) Bedn.-Ochyra & Ochyra
4,Orthothecium strictum Lorentz
4,Philonotis calcarea (Bruch & Schimp.) Schimp.
4,Physcomitrium serratum (Wilson & Hook.) Müll. Hal.
4,Plagiomnium affine (Blandow) T.J. Kop.
4,Pohlia andalusica (Höhn.) Broth.
4,Pseudocrossidium replicatum (Taylor) R.H. Zander
4,Ptychostomum kunzei (Hornsch.) J.R. Spence
4,Rhexophyllum subnigrum (Mitt.) Hilp.
4,Sanionia georgicouncinata (Müll. Hal.) Ochyra & Hedenäs
4,Seligeria donniana (Sm.) Müll. Hal.
4,Timmia norvegica J.E. Zetterst.
5,Aloina rigida (Hedw.) Limpr.
5,Atrichum tenellum (Röhl.) Bruch & Schimp.
5,Atrichum undulatum (Hedw.) P. Beauv.
5,Bryum capillare Hedw.
5,Bucklandiella heterosticha (Hedw.) Bedn.-Ochyra & Ochyra
5,Didymodon tectorum (Müll. Hal.) K. Saito
5,"Dilutineuron fasciculare (Schrad. ex Hedw.) Bedn.-Ochyra, Sawicki, Ochyra, Szczecińska & Plášek"
5,Drepanocladus aduncus var. Aduncus
5,Drepanocladus sordidus (Müll. Hal.) Hedenäs
5,Fissidens obtusifolius Wilson
5,Fissidens viridulus (Sw.) Wahlenb.
5,Fontinalis missourica Cardot
5,Homomallium mexicanum Cardot
5,"Lewinskya affinis (Brid.) F. Lara, Garilleti & Goffinet"
5,Orthotrichum strangulatum P. Beauv.
5,"Polytrichastrum septentrionale (Sw. ex Brid.) E.I. Ivanova, N.E. Bell & Ignatov"
5,Pseudoamblystegium subtile (Hedw.) Vanderp. & Hedenäs
5,Pseudocampylium radicale (P. Beauv.) Vanderp. & Hedenäs
5,Pyrrhobryum medium (Besch.) Manuel
5,Schistidium boreale Poelt
